,service,tech,time
0,GitHub,rt,717.0
1,GitHub,atlas,203718.0
2,Amadeus_Hotels,rt,6282.0
3,Amadeus_Hotels,atlas,32279.0
4,Stripe_Coupons,rt,7629.0
5,Stripe_Coupons,atlas,870917.0
6,Stripe_Products,rt,11059.0
7,Stripe_Products,atlas,526964.0
8,Yelp_Businesses,rt,340.0
9,Yelp_Businesses,atlas,32547.0
10,YouTube_CommentsAndThreads,rt,15294.0
11,YouTube_CommentsAndThreads,atlas,101994.0
12,YouTube_Videos,rt,16932.0
13,YouTube_Videos,atlas,345128.0
14,YouTube_Search,rt,33548.0
15,YouTube_Search,atlas,447004.0
